"sys_id","number","short_description","priority","urgency","impact","state","category","subcategory","opened_at","resolved_at","closed_at","location","cmdb_ci","assignment_group","sys_updated_on"
"f1ed2e1895884b505df6650d2f759d20","INC0302607","? Prometheus - CHSH21.gva.icrc.priv - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 22:30:34","02.04.2026 08:30:08","","","","SAR ICT L2 Support","02.04.2026 08:30:08"
"95edea1895884b505df6650d2f759d86","INC0302606","? Prometheus - gvalnadapp11p.gva.icrc.priv - WindowsServerCpuUsage","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 22:30:31","31.03.2026 23:00:07","","","","TI DIWP Notes Platform","31.03.2026 23:00:07"
"6cedea1895884b505df6650d2f759df1","INC0302605","? Prometheus - gvatfsapp06p.gva.icrc.priv - WindowsServerMemoryUsage","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 22:30:28","31.03.2026 23:00:06","","","","TI TECH DevOps","31.03.2026 23:00:06"
"e6206ad884c04b90edc2850207094fd3","INC0302604","? Prometheus - esx03-p-b3-ch01-s5.gva.icrc.priv - VmwareHostHighDroppedPacketsRx","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 21:30:32","31.03.2026 22:00:06","","","","TI TECH CIS Core Infra","31.03.2026 22:00:06"
"a920669084044b90edc2850207094f7c","INC0302603","? Prometheus - gvasmtdb02p.gva.icrc.priv - MysqlSlaveSqlThreadNotRunning","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 21:30:28","01.04.2026 04:00:06","","","","TI DIWP Services","01.04.2026 04:00:06"
"bebc9210c8484b50f7c4a19afc1a20fd","INC0302602","? Prometheus - KYIA41.gva.icrc.priv - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 21:15:32","31.03.2026 21:30:07","","","","KYI ICT L2 Support","31.03.2026 21:30:07"
"0ebc1e9cc8084b50f7c4a19afc1a2023","INC0302601","? Prometheus - MOSA21.gva.icrc.priv - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 21:15:29","31.03.2026 21:30:06","","","","MOS ICT L2 Support","31.03.2026 21:30:06"
"ce491a1884c04b90edc2850207094f0a","INC0302600","? Prometheus - KABFGT - FortigateWanLatencyDeviation","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 21:00:28","31.03.2026 22:30:07","","","","KAB ICT L2 Support","31.03.2026 22:30:07"
"92d5de5885c00b50b210b11f4b121bbc","INC0302599","? Prometheus - BNG1FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 20:45:28","01.04.2026 11:00:08","","","","BNG ICT L2 Support","01.04.2026 11:00:08"
"b6fe4e907104439074144e981a49cfba","INC0302598","? Prometheus - EREA21.gva.icrc.priv - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 20:15:28","31.03.2026 20:30:10","","","","ERE ICT L2 Support","31.03.2026 20:30:10"
"ceab4ad485800b50b210b11f4b121b8e","INC0302597","Forticlient setup","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 20:00:57","31.03.2026 20:02:52","","","","L1 ServiceDesk","31.03.2026 20:02:52"
"9cd70ad895444b505df6650d2f759de0","INC0302596","Forticlient not connected","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Assistance","","31.03.2026 19:44:10","31.03.2026 19:49:43","","","","L1 ServiceDesk","31.03.2026 19:49:43"
"a3a406987180439074144e981a49cf4b","INC0302595","? Prometheus - YAOFGT - FortigateApiResponceCode429","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 19:30:28","01.04.2026 16:33:00","","","","YAO ICT L2 Support","01.04.2026 16:33:00"
"0ddd39dcc8804b50f7c4a19afc1a202c","INC0302594","? Prometheus - gvaipamapp03p.gva.icrc.priv - SolidserverServFailCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 19:00:31","31.03.2026 19:30:06","","","","TI TECH CIS Networks","31.03.2026 19:30:06"
"1cddb5dcc8804b50f7c4a19afc1a20be","INC0302593","? Prometheus - esx03-p-b3-ch01-s5.gva.icrc.priv - VmwareHostHighDroppedPacketsRx","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 19:00:28","31.03.2026 20:30:06","","","","TI TECH CIS Core Infra","31.03.2026 20:30:06"
"ec9a7dd4bc488b5048ee1fdbfeb97559","INC0302592","Turn-on sensitivity on MS Teams Premium","4 - Low","3 - Low","3 - Low (less than 100 users)","On Hold","Assistance","","31.03.2026 18:49:05","","","","","TI DIWP Collaboration Productivity","01.04.2026 13:31:53"
"e86a7d9884cc0b90edc2850207094f5f","INC0302591","? Prometheus - MOUH21.gva.icrc.priv - BackupHealthCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","New","Degraded Service","","31.03.2026 18:45:29","","","","","MOU ICT L2 Support","31.03.2026 18:45:29"
"ab473d9895c04b505df6650d2f759d57","INC0302590","[EXT] ICRC account blocked","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Access rights","","31.03.2026 18:32:01","","","","","TI External Support","31.03.2026 19:35:44"
"65f63dd085000b50b210b11f4b121b2c","INC0302589","? Prometheus - BUKH41.gva.icrc.priv - BackupHealthCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 18:30:32","01.04.2026 09:04:31","","","","BUK ICT L2 Support","01.04.2026 09:04:31"
"3cf6f9d085000b50b210b11f4b121b72","INC0302588","? Prometheus - monitor-03.azure.icrc.priv - AzureMonitorStorageAccountSuccessE2ELatencyMore1000ms_Critical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 18:30:28","31.03.2026 19:30:07","","","","TI TECH HC Cloud Native","31.03.2026 19:30:07"
"6fd3f9d095c04b505df6650d2f759d95","INC0302587","[EXT] URGENT Medical Evacuation Request: 3-Year-Old Abdullah Abu Hasira, Rare Case of LCH/LAM in Gaza","4 - Low","3 - Low","3 - Low (less than 100 users)","Canceled","Information","","31.03.2026 18:17:00","","31.03.2026 21:17:41","","","L1 ServiceDesk","31.03.2026 21:17:41"
"fa52351095c04b505df6650d2f759d3b","INC0302586","Connection problems or intermittent connection to Wi-Fi and Bluetooth","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Hardware issue","","31.03.2026 18:16:44","01.04.2026 22:31:54","","","","MEX ICT L2 Support","01.04.2026 22:31:54"
"41833994bc088b5048ee1fdbfeb9757c","INC0302585","? Prometheus - RYAN01 Starlink 03 - StarlinkStatusState","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 18:15:28","31.03.2026 22:30:06","","","","YAN ICT L2 Support","31.03.2026 22:30:06"
"fa23799885ccc750b210b11f4b121b28","INC0302584","[EXT] Re: URGENT Medical Evacuation Request: 3-Year-Old Abdullah Abu Hasira, Rare Case of LCH/LAM in Gaza","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Information","","31.03.2026 18:13:57","31.03.2026 21:37:40","","","","L1 ServiceDesk","31.03.2026 21:37:40"
"c210b11485ccc750b210b11f4b121b68","INC0302583","? Prometheus - gvactxmfapp03p.gva.icrc.priv - WindowsServerDiskSpaceUsage","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 18:00:31","31.03.2026 21:07:35","","","","TI TECH Operations Center","31.03.2026 21:07:35"
"9d10b9d085ccc750b210b11f4b121b4d","INC0302582","? Prometheus - YANA41.gva.icrc.priv - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 18:00:28","","","","","YAN ICT L2 Support","01.04.2026 04:33:03"
"dfaced14bcc48b5048ee1fdbfeb975a4","INC0302581","? Prometheus - RMUE2FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:45:35","31.03.2026 20:00:08","","","","PEM ICT L2 Support","31.03.2026 20:00:08"
"e2ac2154bcc48b5048ee1fdbfeb9750b","INC0302580","? Prometheus - 10.130.2.90 - CollectorNodeDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:45:32","31.03.2026 19:00:07","","","","TI TECH HC Cloud Native","31.03.2026 19:00:07"
"69aced14bcc48b5048ee1fdbfeb97567","INC0302579","? Prometheus - RPEM37FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:45:28","31.03.2026 20:00:07","","","","PEM ICT L2 Support","31.03.2026 20:00:07"
"fbb86114844c0b90edc2850207094f5d","INC0302577","Status of current submitted document","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 17:30:53","","","","","TI DIWP Services","01.04.2026 08:38:50"
"4639ad54844c0b90edc2850207094f34","INC0302576","? Prometheus - gvaipamapp03p.gva.icrc.priv - SolidserverServFailCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:30:28","31.03.2026 18:00:06","","","","TI TECH CIS Networks","31.03.2026 18:00:06"
"3fd6a550bc848b5048ee1fdbfeb97500","INC0302575","Accès au formulaire de gestion de la performance et du développement (PMD) ","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:25:13","02.04.2026 09:40:58","","","","TI TECH CIS Networks","02.04.2026 09:40:58"
"2493e118840c0b90edc2850207094fd6","INC0302574","Peoplesoft Finance AR - Database W-1 not working","4 - Low","3 - Low","3 - Low (less than 100 users)","On Hold","Degraded Service","","31.03.2026 17:17:29","","","","","TI EXPR Finance","01.04.2026 08:43:01"
"fed5619c840c0b90edc2850207094f17","INC0302573","Problema de conectividad","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:16:49","31.03.2026 21:13:04","","","","BOG ICT L2 Support","31.03.2026 21:13:04"
"fec52d5cbc448b5048ee1fdbfeb97549","INC0302572","? Prometheus - gvapromapp06p - PrometheusAlertmanagerNotificationFailing","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:15:31","01.04.2026 12:40:48","","","","TI TECH Observability","01.04.2026 12:40:48"
"06c5e11cbc448b5048ee1fdbfeb975f4","INC0302571","? Prometheus - gvapromapp05p - PrometheusAlertmanagerNotificationFailing","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:15:28","01.04.2026 12:41:12","","","","TI TECH Observability","01.04.2026 12:41:12"
"7564e150c8004b50f7c4a19afc1a204a","INC0302570","No internet in warehouse and Garage","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Assistance","","31.03.2026 17:09:26","31.03.2026 17:14:40","","","","KIN ICT L2 Support","31.03.2026 17:14:40"
"cc24e518bc448b5048ee1fdbfeb97507","INC0302569","Session freeze","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 17:08:14","31.03.2026 17:08:44","","","","TI GVA Proximity Support","31.03.2026 17:08:44"
"61c16d9495004b505df6650d2f759d48","INC0302568","Cannot create PMD objectives or development objectives","4 - Low","3 - Low","3 - Low (less than 100 users)","On Hold","Degraded Service","","31.03.2026 17:00:41","","","","","L1 ServiceDesk","31.03.2026 19:27:23"
"6bee51dc84c80b90edc2850207094f66","INC0302567","? Prometheus - MOUH21.gva.icrc.priv - BackupTooOld","4 - Low","3 - Low","3 - Low (less than 100 users)","New","Degraded Service","","31.03.2026 16:45:31","","","","","MOU ICT L2 Support","31.03.2026 16:45:31"
"76ee91dc84c80b90edc2850207094f00","INC0302566","? Prometheus - NAI Starlink 08 - StarlinkStatusState","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 16:45:28","","","","","NAI ICT L2 Support","01.04.2026 08:37:06"
"7c5c59d484c80b90edc2850207094fbc","INC0302565","PROBLEME AVEC PHOTOCOPIEUSE BAT 2 00","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 16:37:54","31.03.2026 17:08:26","","","","TI GVA Workplace","31.03.2026 17:08:26"
"698bdd5484c80b90edc2850207094f26","INC0302564","? Prometheus - BEJA21.gva.icrc.priv - WindowsServerDiskSpaceUsage","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 16:30:38","01.04.2026 04:30:07","","","","BEJ ICT L2 Support","01.04.2026 04:30:07"
"208b5d5484c80b90edc2850207094f57","INC0302563","? Prometheus - DATH21.gva.icrc.priv - BackupHealthCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 16:30:35","01.04.2026 11:00:07","","","","MIU ICT L2 Support","01.04.2026 11:00:07"
"777b9d5484c80b90edc2850207094fed","INC0302562","? Prometheus - BUKH41.gva.icrc.priv - BackupTooOld","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 16:30:32","01.04.2026 09:04:06","","","","BUK ICT L2 Support","01.04.2026 09:04:06"
"877b195484c80b90edc2850207094fae","INC0302561","? Prometheus - MOPH41.gva.icrc.priv - BackupHealthCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 16:30:28","01.04.2026 13:27:47","","","","MOP ICT L2 Support","01.04.2026 13:27:47"
"cd8a1910bcc08b5048ee1fdbfeb975ee","INC0302560","User unable to open HR space and External websites on ICRC Internal","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 16:26:15","","","","","TI TECH CIS Networks","01.04.2026 09:26:42"
"b216999484880b90edc2850207094ffe","INC0302559","VGS Devices for 18160 giving alarm and showing ignition On while the car is at parking ","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Hardware","","31.03.2026 16:16:59","01.04.2026 14:10:02","","","","JUB ICT L2 Support","01.04.2026 14:10:02"
"f2f6d55cbc408b5048ee1fdbfeb9751d","INC0302558","MS Outlook is not connecting on user's device GVA220238-2021","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 16:10:48","31.03.2026 16:20:40","","","","L1 ServiceDesk","31.03.2026 16:20:40"
"77149914954c0b505df6650d2f759d01","INC0302557","Problema de Navegacion en Internet","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Access rights","","31.03.2026 15:59:24","31.03.2026 21:06:39","","","","BOG ICT L2 Support","31.03.2026 21:06:39"
"86045d5084880b90edc2850207094f48","INC0302556","WADLIQ - Processing Closure - employee field errror","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Assistance","","31.03.2026 15:57:54","01.04.2026 08:29:25","","","","TI DIWP Services","01.04.2026 08:29:25"
"8ac115d88588c750b210b11f4b121b4d","INC0302555","Restage ICRC-KLQKSFM1VP","4 - Low","3 - Low","3 - Low (less than 100 users)","On Hold","Restaging","","31.03.2026 15:48:05","","","","","NAI ICT L2 Support","02.04.2026 07:13:24"
"73211954bccc4b5048ee1fdbfeb97584","INC0302554","? Prometheus - gvaipamapp03p.gva.icrc.priv - SolidserverServFailCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 15:45:28","31.03.2026 16:00:18","","","","TI TECH CIS Networks","31.03.2026 16:00:18"
"f2ae89947148039074144e981a49cf25","INC0302553","lost internet access","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 15:35:32","","","","","TI TECH CIS Networks","02.04.2026 08:07:22"
"00cdc114c80c0b50f7c4a19afc1a20c4","INC0302552","? Prometheus - gvaipamapp03p.gva.icrc.priv - SolidserverServFailCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 15:30:28","31.03.2026 16:00:17","","","","TI TECH CIS Networks","31.03.2026 16:00:17"
"bedb091884080b90edc2850207094f2b","INC0302550","Request to Reactivate Yomif Worku’s - IRIS Account","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Information","","31.03.2026 15:26:16","31.03.2026 16:06:25","","","","L1 ServiceDesk","31.03.2026 16:06:25"
"280a4d58c8c80b50f7c4a19afc1a204b","INC0302549","Redirection  https://intercrossblog.icrc.org/ need to be redirected to blogs.icrc.org/intercross","4 - Low","2 - Medium","3 - Low (less than 100 users)","Canceled","Degraded Service","","31.03.2026 15:18:53","","31.03.2026 15:42:11","","","L1 ServiceDesk","31.03.2026 15:42:11"
"45f90d547108039074144e981a49cf41","INC0302548","Microsoft teams call","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Assistance","","31.03.2026 15:18:09","","","","","TI DIWP Collaboration Productivity","01.04.2026 16:19:16"
"f13acddc95880b505df6650d2f759de8","INC0302547","User is unable to set up MFA since old methods are no longer available. ","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Assistance","","31.03.2026 15:15:01","31.03.2026 15:16:28","","","","L1 ServiceDesk","31.03.2026 15:16:28"
"4a394d1c95880b505df6650d2f759db2","INC0302546","User is unable to set up MFA since old methods are no longer available. ","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 15:10:41","31.03.2026 15:16:20","","","","L1 ServiceDesk","31.03.2026 15:16:20"
"8c0509dcbc084b5048ee1fdbfeb97560","INC0302545","Access on a docset","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Access rights","","31.03.2026 15:05:59","","","","","IM L2 Support","31.03.2026 16:28:26"
"3b87495495880b505df6650d2f759d89","INC0302544","PSU009 is not working","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Hardware","","31.03.2026 15:04:44","02.04.2026 08:25:36","","","","PSU ICT L2 Support","02.04.2026 08:25:36"
"d9770d90bc884b5048ee1fdbfeb9750a","INC0302543","Maty needs f_account password reset","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Password loss or expired","","31.03.2026 15:02:58","01.04.2026 08:41:39","","","","TI ISGO IAM","01.04.2026 08:41:39"
"24f6055871c4039074144e981a49cf6d","INC0302542","? Prometheus - RNDJ24FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 15:00:44","31.03.2026 17:00:06","","","","NDJ ICT L2 Support","31.03.2026 17:00:06"
"3be6c15871c4039074144e981a49cf1c","INC0302541","? Prometheus - DATH21.gva.icrc.priv - BackupHealthCritical","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 15:00:41","31.03.2026 15:30:06","","","","MIU ICT L2 Support","31.03.2026 15:30:06"
"36e6055871c4039074144e981a49cf9a","INC0302540","? Prometheus - gvaprotdb02p.gva.icrc.priv - WindowsServerDiskSpaceUsage","4 - Low","3 - Low","3 - Low (less than 100 users)","New","Degraded Service","","31.03.2026 15:00:38","","","","","TI DIOP Protection","31.03.2026 15:00:38"
"4ee6815871c4039074144e981a49cf28","INC0302539","? Prometheus - NDJR23FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 15:00:34","31.03.2026 17:30:06","","","","NDJ ICT L2 Support","31.03.2026 17:30:06"
"d5e6015871c4039074144e981a49cf11","INC0302538","? Prometheus - NDJR25FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","New","Degraded Service","","31.03.2026 15:00:31","","","","","NDJ ICT L2 Support","31.03.2026 15:00:31"
"a4e6015871c4039074144e981a49cf1a","INC0302537","? Prometheus - AM1FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","New","Degraded Service","","31.03.2026 15:00:28","","","","","AMM ICT L2 Support","31.03.2026 15:00:28"
"8c6589d08508c750b210b11f4b121bb9","INC0302536","Bitlocker recovery key for GVA248242-2024","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","BitLocker","","31.03.2026 14:53:53","31.03.2026 16:15:26","","","","UVI ICT L2 Support","31.03.2026 16:15:26"
"3335491c95480b505df6650d2f759df4","INC0302535","Strategic not opening","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 14:53:19","31.03.2026 15:44:26","","","","L1 ServiceDesk","31.03.2026 15:44:26"
"f6a4891cbc084b5048ee1fdbfeb975b4","INC0302534","Red call is not working with voice and  video calls in Egypt and Kuwait, messages need 40 secs to receive","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 14:50:48","","","","","TI DIWP OpenSource Information Preservation","31.03.2026 16:12:48"
"1a248dd4bc084b5048ee1fdbfeb97515","INC0302533","Lost of Signal Wifi","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 14:48:34","31.03.2026 14:49:22","","","","TI GVA Proximity Support","31.03.2026 14:49:22"
"2173455c84840b90edc2850207094f73","INC0302532","? Prometheus - gvaprntapp01t - VmwareVMOldSnapshot","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 14:45:31","01.04.2026 08:54:27","","","","TI TECH CIS Core Infra","01.04.2026 08:54:27"
"b0730d1c84840b90edc2850207094f6a","INC0302531","? Prometheus - AGOM2 STARLINK 01 - StarlinkStatusState","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 14:45:28","31.03.2026 15:30:08","","","","GOM ICT L2 Support","31.03.2026 15:30:08"
"9411c1d07184039074144e981a49cfa4","INC0302530","SHIP 3674450 DUSHAMBE TAJIKISTAN File of serial numbers","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Assistance","","31.03.2026 14:37:22","01.04.2026 00:14:30","","","","L1 ServiceDesk","01.04.2026 00:14:30"
"2c10019085c4c750b210b11f4b121b9a","INC0302529","Red Call test ","4 - Low","3 - Low","3 - Low (less than 100 users)","On Hold","Degraded Service","","31.03.2026 14:33:32","","","","","TI DIWP OpenSource Information Preservation","01.04.2026 17:15:10"
"0a00c5d8c8480b50f7c4a19afc1a2021","INC0302528","? Prometheus - KYID21.gva.icrc.priv - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 14:30:32","","","","","KYI ICT L2 Support","31.03.2026 14:31:21"
"950085d8c8480b50f7c4a19afc1a2075","INC0302527","? Prometheus - AGOM2FGT - FortigateSiteDown","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 14:30:28","31.03.2026 15:30:07","","","","GOM ICT L2 Support","31.03.2026 15:30:07"
"edadb450c8480b50f7c4a19afc1a2021","INC0302526","Black/white lines flash on the screen","4 - Low","3 - Low","3 - Low (less than 100 users)","On Hold","Degraded Service","","31.03.2026 14:29:34","","","","","CHS ICT L2 Support","01.04.2026 12:49:40"
"c7cefc10bc044b5048ee1fdbfeb97580","INC0302525","Marijana cannot access a doc set she manages after she added access for another user","4 - Low","3 - Low","3 - Low (less than 100 users)","Resolved","Degraded Service","","31.03.2026 14:25:08","31.03.2026 14:40:05","","","","IM L2 Support","31.03.2026 14:40:05"
"c29cb4148584c750b210b11f4b121b13","INC0302524","? Prometheus - KYII21.gva.icrc.priv - WindowsServerDown","4 - Low","3 - Low","3 - Low (less than 100 users)","In Progress","Degraded Service","","31.03.2026 14:15:31","","","","","KYI ICT L2 Support","31.03.2026 14:30:42"
